agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,d5v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,1.0,Unanimous support from multiple agents with top confidence; essential core part of freeze dryer.,Stainless steel (SS 304/316),0.95,"Structural material for vacuum chamber walls providing corrosion resistance and mechanical strength, industry standard for freeze dryer chambers.",722000,Nigeria,metric tons,0.0,18.0,0.92,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d5v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,1.0,Unanimous support from multiple agents with top confidence; essential core part of freeze dryer.,Stainless steel (SS 304/316),0.95,"Structural material for vacuum chamber walls providing corrosion resistance and mechanical strength, industry standard for freeze dryer chambers.",722000,Russia,metric tons,0.0,15.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d5v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,1.0,Unanimous support from multiple agents with top confidence; essential core part of freeze dryer.,Stainless steel (SS 304/316),0.95,"Structural material for vacuum chamber walls providing corrosion resistance and mechanical strength, industry standard for freeze dryer chambers.",722000,India,metric tons,0.0,10.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d5v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,1.0,Unanimous support from multiple agents with top confidence; essential core part of freeze dryer.,Stainless steel (SS 304/316),0.95,"Structural material for vacuum chamber walls providing corrosion resistance and mechanical strength, industry standard for freeze dryer chambers.",722000,Australia,metric tons,0.0,13.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d5v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,1.0,Unanimous support from multiple agents with top confidence; essential core part of freeze dryer.,Stainless steel (SS 304/316),0.95,"Structural material for vacuum chamber walls providing corrosion resistance and mechanical strength, industry standard for freeze dryer chambers.",722000,Indonesia,metric tons,0.0,10.0,0.87,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d5v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,1.0,Unanimous support from multiple agents with top confidence; essential core part of freeze dryer.,Glass,0.8,"Used for vacuum viewports allowing visibility inside chamber, high optical clarity and vacuum compatibility; alternatives exist but glass is most common.",700800,China,metric tons,0.0,63.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d5v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,1.0,Unanimous support from multiple agents with top confidence; essential core part of freeze dryer.,Glass,0.8,"Used for vacuum viewports allowing visibility inside chamber, high optical clarity and vacuum compatibility; alternatives exist but glass is most common.",700800,United States,metric tons,0.0,12.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d5v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,1.0,Unanimous support from multiple agents with top confidence; essential core part of freeze dryer.,Glass,0.8,"Used for vacuum viewports allowing visibility inside chamber, high optical clarity and vacuum compatibility; alternatives exist but glass is most common.",700800,Germany,metric tons,0.0,7.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d5v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,1.0,Unanimous support from multiple agents with top confidence; essential core part of freeze dryer.,Glass,0.8,"Used for vacuum viewports allowing visibility inside chamber, high optical clarity and vacuum compatibility; alternatives exist but glass is most common.",700800,India,metric tons,0.0,6.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d5v1v1,Freeze Dryer (Lyophilizer),Vacuum Chamber,1.0,Unanimous support from multiple agents with top confidence; essential core part of freeze dryer.,Glass,0.8,"Used for vacuum viewports allowing visibility inside chamber, high optical clarity and vacuum compatibility; alternatives exist but glass is most common.",700800,Japan,metric tons,0.0,5.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
