technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning,dependency_type,extraction_provenance
Collaborative Robot (Cobot) Arm,Articulated Arm Assembly,0.98,Strong peer support with 2 agents and high rating. Essential for the robot arm.,Aluminum,0.9,Aluminum is commonly used for lightweight structural parts of articulated arms due to its strength-to-weight ratio and corrosion resistance; it is a standard material in such assemblies.,280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Collaborative Robot (Cobot) Arm,Articulated Arm Assembly,0.98,Strong peer support with 2 agents and high rating. Essential for the robot arm.,Aluminum,0.9,Aluminum is commonly used for lightweight structural parts of articulated arms due to its strength-to-weight ratio and corrosion resistance; it is a standard material in such assemblies.,280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Collaborative Robot (Cobot) Arm,Articulated Arm Assembly,0.98,Strong peer support with 2 agents and high rating. Essential for the robot arm.,Aluminum,0.9,Aluminum is commonly used for lightweight structural parts of articulated arms due to its strength-to-weight ratio and corrosion resistance; it is a standard material in such assemblies.,280300,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Collaborative Robot (Cobot) Arm,Articulated Arm Assembly,0.98,Strong peer support with 2 agents and high rating. Essential for the robot arm.,Aluminum,0.9,Aluminum is commonly used for lightweight structural parts of articulated arms due to its strength-to-weight ratio and corrosion resistance; it is a standard material in such assemblies.,280300,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Collaborative Robot (Cobot) Arm,Articulated Arm Assembly,0.98,Strong peer support with 2 agents and high rating. Essential for the robot arm.,Aluminum,0.9,Aluminum is commonly used for lightweight structural parts of articulated arms due to its strength-to-weight ratio and corrosion resistance; it is a standard material in such assemblies.,280300,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage,constituent,
Collaborative Robot (Cobot) Arm,Articulated Arm Assembly,0.98,Strong peer support with 2 agents and high rating. Essential for the robot arm.,Steel Ingots,0.85,Steel Ingots serve as the basis for various steel alloys used in mechanical parts and joints for strength and durability; widely used though alternatives like aluminum exist for weight reduction.,720610,China,metric tons,0.0,57.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots,constituent,
Collaborative Robot (Cobot) Arm,Articulated Arm Assembly,0.98,Strong peer support with 2 agents and high rating. Essential for the robot arm.,Steel Ingots,0.85,Steel Ingots serve as the basis for various steel alloys used in mechanical parts and joints for strength and durability; widely used though alternatives like aluminum exist for weight reduction.,720610,India,metric tons,0.0,6.5,0.9,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots,constituent,
Collaborative Robot (Cobot) Arm,Articulated Arm Assembly,0.98,Strong peer support with 2 agents and high rating. Essential for the robot arm.,Steel Ingots,0.85,Steel Ingots serve as the basis for various steel alloys used in mechanical parts and joints for strength and durability; widely used though alternatives like aluminum exist for weight reduction.,720610,Japan,metric tons,0.0,5.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots,constituent,
Collaborative Robot (Cobot) Arm,Articulated Arm Assembly,0.98,Strong peer support with 2 agents and high rating. Essential for the robot arm.,Steel Ingots,0.85,Steel Ingots serve as the basis for various steel alloys used in mechanical parts and joints for strength and durability; widely used though alternatives like aluminum exist for weight reduction.,720610,United States,metric tons,0.0,4.5,0.9,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots,constituent,
Collaborative Robot (Cobot) Arm,Articulated Arm Assembly,0.98,Strong peer support with 2 agents and high rating. Essential for the robot arm.,Steel Ingots,0.85,Steel Ingots serve as the basis for various steel alloys used in mechanical parts and joints for strength and durability; widely used though alternatives like aluminum exist for weight reduction.,720610,Russia,metric tons,0.0,4.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Steel Ingots,constituent,
