technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Glass,0.95,"Serves as the substrate providing structural support and optical transparency, universally used in integrated OLED touchscreen displays.",700800,China,metric tons,0.0,63.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Glass,0.95,"Serves as the substrate providing structural support and optical transparency, universally used in integrated OLED touchscreen displays.",700800,United States,metric tons,0.0,12.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Glass,0.95,"Serves as the substrate providing structural support and optical transparency, universally used in integrated OLED touchscreen displays.",700800,Germany,metric tons,0.0,7.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Glass,0.95,"Serves as the substrate providing structural support and optical transparency, universally used in integrated OLED touchscreen displays.",700800,India,metric tons,0.0,6.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Glass,0.95,"Serves as the substrate providing structural support and optical transparency, universally used in integrated OLED touchscreen displays.",700800,Japan,metric tons,0.0,5.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Indium,0.9,"Key component of indium tin oxide (ITO) transparent conductor layer, essential for touch sensitivity and display function; industry standard with rare substitutes.",811299,CHINA,METRIC TONS,650.0,65.66,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Indium,0.9,"Key component of indium tin oxide (ITO) transparent conductor layer, essential for touch sensitivity and display function; industry standard with rare substitutes.",811299,"KOREA, REPUBLIC OF",METRIC TONS,200.0,20.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Indium,0.9,"Key component of indium tin oxide (ITO) transparent conductor layer, essential for touch sensitivity and display function; industry standard with rare substitutes.",811299,JAPAN,METRIC TONS,64.0,6.46,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Indium,0.9,"Key component of indium tin oxide (ITO) transparent conductor layer, essential for touch sensitivity and display function; industry standard with rare substitutes.",811299,CANADA,METRIC TONS,37.0,3.74,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Indium,0.9,"Key component of indium tin oxide (ITO) transparent conductor layer, essential for touch sensitivity and display function; industry standard with rare substitutes.",811299,BELGIUM,METRIC TONS,18.0,1.82,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Aluminum,0.85,Used as electrode and reflector material within OLED stack providing electrical conduction and light enhancement; standard material in OLED displays.,280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Aluminum,0.85,Used as electrode and reflector material within OLED stack providing electrical conduction and light enhancement; standard material in OLED displays.,280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Aluminum,0.85,Used as electrode and reflector material within OLED stack providing electrical conduction and light enhancement; standard material in OLED displays.,280300,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Aluminum,0.85,Used as electrode and reflector material within OLED stack providing electrical conduction and light enhancement; standard material in OLED displays.,280300,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Aluminum,0.85,Used as electrode and reflector material within OLED stack providing electrical conduction and light enhancement; standard material in OLED displays.,280300,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Silver,0.65,Used as alternate or supplementary electrode material; common but aluminum alternatives exist.,710610,MEXICO,METRIC TONS,6400.0,24.62,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Silver,0.65,Used as alternate or supplementary electrode material; common but aluminum alternatives exist.,710610,CHINA,METRIC TONS,3400.0,13.08,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Silver,0.65,Used as alternate or supplementary electrode material; common but aluminum alternatives exist.,710610,PERU,METRIC TONS,3100.0,11.92,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Silver,0.65,Used as alternate or supplementary electrode material; common but aluminum alternatives exist.,710610,OTHER,METRIC TONS,3000.0,11.54,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.98,"The integrated OLED touchscreen is a combined display and touch input assembly, a critical procurable component that forms the device's user interface and front surface.",Silver,0.65,Used as alternate or supplementary electrode material; common but aluminum alternatives exist.,710610,CHILE,METRIC TONS,1400.0,5.38,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Glass,0.95,"Provides substrate support and optical clarity, universally used in OLED display modules.",700800,China,metric tons,0.0,63.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Glass,0.95,"Provides substrate support and optical clarity, universally used in OLED display modules.",700800,United States,metric tons,0.0,12.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Glass,0.95,"Provides substrate support and optical clarity, universally used in OLED display modules.",700800,Germany,metric tons,0.0,7.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Glass,0.95,"Provides substrate support and optical clarity, universally used in OLED display modules.",700800,India,metric tons,0.0,6.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Glass,0.95,"Provides substrate support and optical clarity, universally used in OLED display modules.",700800,Japan,metric tons,0.0,5.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Indium,0.9,"Critical for ITO transparent conductive layer, standard in OLED displays.",811299,CHINA,METRIC TONS,650.0,65.66,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Indium,0.9,"Critical for ITO transparent conductive layer, standard in OLED displays.",811299,"KOREA, REPUBLIC OF",METRIC TONS,200.0,20.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Indium,0.9,"Critical for ITO transparent conductive layer, standard in OLED displays.",811299,JAPAN,METRIC TONS,64.0,6.46,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Indium,0.9,"Critical for ITO transparent conductive layer, standard in OLED displays.",811299,CANADA,METRIC TONS,37.0,3.74,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Indium,0.9,"Critical for ITO transparent conductive layer, standard in OLED displays.",811299,BELGIUM,METRIC TONS,18.0,1.82,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Aluminum,0.85,"Forms electrode layers and reflectors within OLED, standard material.",280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Aluminum,0.85,"Forms electrode layers and reflectors within OLED, standard material.",280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Aluminum,0.85,"Forms electrode layers and reflectors within OLED, standard material.",280300,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Aluminum,0.85,"Forms electrode layers and reflectors within OLED, standard material.",280300,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Aluminum,0.85,"Forms electrode layers and reflectors within OLED, standard material.",280300,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Silver,0.65,"Common cathode electrode material, but can be replaced by aluminum.",710610,MEXICO,METRIC TONS,6400.0,24.62,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Silver,0.65,"Common cathode electrode material, but can be replaced by aluminum.",710610,CHINA,METRIC TONS,3400.0,13.08,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Silver,0.65,"Common cathode electrode material, but can be replaced by aluminum.",710610,PERU,METRIC TONS,3100.0,11.92,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Silver,0.65,"Common cathode electrode material, but can be replaced by aluminum.",710610,OTHER,METRIC TONS,3000.0,11.54,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,OLED Display Module,0.95,This is the critical user interface component procured as a distinct assembly from specialized suppliers; all modern smartphones rely on this for visual output.,Silver,0.65,"Common cathode electrode material, but can be replaced by aluminum.",710610,CHILE,METRIC TONS,1400.0,5.38,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"The rechargeable battery is essential for mobile operation and is sourced as a complete, separate unit from battery manufacturers.",Lithium,0.95,"Primary energy storage element in lithium-ion chemistry, absolutely essential for battery function with no viable alternatives.",280520,AUSTRALIA,METRIC TONS,86000.0,47.78,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"The rechargeable battery is essential for mobile operation and is sourced as a complete, separate unit from battery manufacturers.",Lithium,0.95,"Primary energy storage element in lithium-ion chemistry, absolutely essential for battery function with no viable alternatives.",280520,CHILE,METRIC TONS,44000.0,24.44,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"The rechargeable battery is essential for mobile operation and is sourced as a complete, separate unit from battery manufacturers.",Lithium,0.95,"Primary energy storage element in lithium-ion chemistry, absolutely essential for battery function with no viable alternatives.",280520,CHINA,METRIC TONS,33000.0,18.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"The rechargeable battery is essential for mobile operation and is sourced as a complete, separate unit from battery manufacturers.",Lithium,0.95,"Primary energy storage element in lithium-ion chemistry, absolutely essential for battery function with no viable alternatives.",280520,ARGENTINA,METRIC TONS,9600.0,5.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"The rechargeable battery is essential for mobile operation and is sourced as a complete, separate unit from battery manufacturers.",Lithium,0.95,"Primary energy storage element in lithium-ion chemistry, absolutely essential for battery function with no viable alternatives.",280520,BRAZIL,METRIC TONS,4900.0,2.72,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
