agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Glass,0.95,Glass is used as the substrate and encapsulation layer in OLED displays providing structural support and transparency; it is industry standard with few alternatives.,700800,China,metric tons,0.0,63.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Glass,0.95,Glass is used as the substrate and encapsulation layer in OLED displays providing structural support and transparency; it is industry standard with few alternatives.,700800,United States,metric tons,0.0,12.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Glass,0.95,Glass is used as the substrate and encapsulation layer in OLED displays providing structural support and transparency; it is industry standard with few alternatives.,700800,Germany,metric tons,0.0,7.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Glass,0.95,Glass is used as the substrate and encapsulation layer in OLED displays providing structural support and transparency; it is industry standard with few alternatives.,700800,India,metric tons,0.0,6.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Glass,0.95,Glass is used as the substrate and encapsulation layer in OLED displays providing structural support and transparency; it is industry standard with few alternatives.,700800,Japan,metric tons,0.0,5.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Indium,0.9,"Indium is a critical element in indium tin oxide electrodes used for transparent conductive layers in OLEDs, standard in the industry though emerging alternatives exist.",811299,CHINA,METRIC TONS,650.0,65.66,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Indium,0.9,"Indium is a critical element in indium tin oxide electrodes used for transparent conductive layers in OLEDs, standard in the industry though emerging alternatives exist.",811299,"KOREA, REPUBLIC OF",METRIC TONS,200.0,20.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Indium,0.9,"Indium is a critical element in indium tin oxide electrodes used for transparent conductive layers in OLEDs, standard in the industry though emerging alternatives exist.",811299,JAPAN,METRIC TONS,64.0,6.46,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Indium,0.9,"Indium is a critical element in indium tin oxide electrodes used for transparent conductive layers in OLEDs, standard in the industry though emerging alternatives exist.",811299,CANADA,METRIC TONS,37.0,3.74,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Indium,0.9,"Indium is a critical element in indium tin oxide electrodes used for transparent conductive layers in OLEDs, standard in the industry though emerging alternatives exist.",811299,BELGIUM,METRIC TONS,18.0,1.82,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Gallium,0.75,Gallium compounds like gallium arsenide or gallium nitride often constitute thin-film semiconductor layers for OLED or related display functions; alternatives exist but gallium is common.,811299,CHINA,KILOGRAMS,600000.0,98.36,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Gallium,0.75,Gallium compounds like gallium arsenide or gallium nitride often constitute thin-film semiconductor layers for OLED or related display functions; alternatives exist but gallium is common.,811299,RUSSIA,KILOGRAMS,5000.0,0.82,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Gallium,0.75,Gallium compounds like gallium arsenide or gallium nitride often constitute thin-film semiconductor layers for OLED or related display functions; alternatives exist but gallium is common.,811299,JAPAN,KILOGRAMS,3000.0,0.49,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Gallium,0.75,Gallium compounds like gallium arsenide or gallium nitride often constitute thin-film semiconductor layers for OLED or related display functions; alternatives exist but gallium is common.,811299,"KOREA, REPUBLIC OF",KILOGRAMS,2000.0,0.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Gallium,0.75,Gallium compounds like gallium arsenide or gallium nitride often constitute thin-film semiconductor layers for OLED or related display functions; alternatives exist but gallium is common.,811299,UNITED STATES,KILOGRAMS,0.0,0.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Silver,0.65,"Silver is commonly used as a conductive electrode material in OLED cathodes, though aluminum or other metals can substitute in some designs.",710610,MEXICO,METRIC TONS,6400.0,24.62,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Silver,0.65,"Silver is commonly used as a conductive electrode material in OLED cathodes, though aluminum or other metals can substitute in some designs.",710610,CHINA,METRIC TONS,3400.0,13.08,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Silver,0.65,"Silver is commonly used as a conductive electrode material in OLED cathodes, though aluminum or other metals can substitute in some designs.",710610,PERU,METRIC TONS,3100.0,11.92,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Silver,0.65,"Silver is commonly used as a conductive electrode material in OLED cathodes, though aluminum or other metals can substitute in some designs.",710610,OTHER,METRIC TONS,3000.0,11.54,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Smartphone,OLED Display Module,0.95,Unanimous strong consensus and high confidence across all agents; essential for smartphone.,Silver,0.65,"Silver is commonly used as a conductive electrode material in OLED cathodes, though aluminum or other metals can substitute in some designs.",710610,CHILE,METRIC TONS,1400.0,5.38,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
