agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,d4v1v1,Bioreactor,Bioreactor Vessel (Stainless Steel or Single-use Plastic),1.0,Strong consensus with 3 agents supporting this with highest confidence of 1.00; essential primary vessel type for bioreactor; peer feedback affirms preservation.,Stainless steel (SS 316),0.95,"Primary structural material for bioreactor vessels labeled stainless steel, SS 316 is industry standard for corrosion resistance and durability in bioprocessing.",722000,China,metric tons,0.0,36.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 316)
1,d4v1v1,Bioreactor,Bioreactor Vessel (Stainless Steel or Single-use Plastic),1.0,Strong consensus with 3 agents supporting this with highest confidence of 1.00; essential primary vessel type for bioreactor; peer feedback affirms preservation.,Stainless steel (SS 316),0.95,"Primary structural material for bioreactor vessels labeled stainless steel, SS 316 is industry standard for corrosion resistance and durability in bioprocessing.",722000,Japan,metric tons,0.0,28.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 316)
1,d4v1v1,Bioreactor,Bioreactor Vessel (Stainless Steel or Single-use Plastic),1.0,Strong consensus with 3 agents supporting this with highest confidence of 1.00; essential primary vessel type for bioreactor; peer feedback affirms preservation.,Stainless steel (SS 316),0.95,"Primary structural material for bioreactor vessels labeled stainless steel, SS 316 is industry standard for corrosion resistance and durability in bioprocessing.",722000,India,metric tons,0.0,21.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 316)
1,d4v1v1,Bioreactor,Bioreactor Vessel (Stainless Steel or Single-use Plastic),1.0,Strong consensus with 3 agents supporting this with highest confidence of 1.00; essential primary vessel type for bioreactor; peer feedback affirms preservation.,Stainless steel (SS 316),0.95,"Primary structural material for bioreactor vessels labeled stainless steel, SS 316 is industry standard for corrosion resistance and durability in bioprocessing.",722000,United States,metric tons,0.0,14.0,0.75,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 316)
1,d4v1v1,Bioreactor,Bioreactor Vessel (Stainless Steel or Single-use Plastic),1.0,Strong consensus with 3 agents supporting this with highest confidence of 1.00; essential primary vessel type for bioreactor; peer feedback affirms preservation.,Stainless steel (SS 316),0.95,"Primary structural material for bioreactor vessels labeled stainless steel, SS 316 is industry standard for corrosion resistance and durability in bioprocessing.",722000,South Korea,metric tons,0.0,11.0,0.65,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 316)
1,d4v1v1,Bioreactor,Bioreactor Vessel (Stainless Steel or Single-use Plastic),1.0,Strong consensus with 3 agents supporting this with highest confidence of 1.00; essential primary vessel type for bioreactor; peer feedback affirms preservation.,Polyethylene,0.85,"Common polymer used in single-use bioreactor vessels for flexibility and chemical resistance, widely used substitute for stainless steel in disposables.",390110,China,metric tons,36283333.333333336,31.17,0.877,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Bioreactor,Bioreactor Vessel (Stainless Steel or Single-use Plastic),1.0,Strong consensus with 3 agents supporting this with highest confidence of 1.00; essential primary vessel type for bioreactor; peer feedback affirms preservation.,Polyethylene,0.85,"Common polymer used in single-use bioreactor vessels for flexibility and chemical resistance, widely used substitute for stainless steel in disposables.",390110,United States,metric tons,19506666.666666668,16.73,0.87,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Bioreactor,Bioreactor Vessel (Stainless Steel or Single-use Plastic),1.0,Strong consensus with 3 agents supporting this with highest confidence of 1.00; essential primary vessel type for bioreactor; peer feedback affirms preservation.,Polyethylene,0.85,"Common polymer used in single-use bioreactor vessels for flexibility and chemical resistance, widely used substitute for stainless steel in disposables.",390110,Saudi Arabia,metric tons,10090000.0,8.7,0.807,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Bioreactor,Bioreactor Vessel (Stainless Steel or Single-use Plastic),1.0,Strong consensus with 3 agents supporting this with highest confidence of 1.00; essential primary vessel type for bioreactor; peer feedback affirms preservation.,Polyethylene,0.85,"Common polymer used in single-use bioreactor vessels for flexibility and chemical resistance, widely used substitute for stainless steel in disposables.",390110,South Korea,metric tons,6446666.666666667,5.53,0.84,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d4v1v1,Bioreactor,Bioreactor Vessel (Stainless Steel or Single-use Plastic),1.0,Strong consensus with 3 agents supporting this with highest confidence of 1.00; essential primary vessel type for bioreactor; peer feedback affirms preservation.,Polyethylene,0.85,"Common polymer used in single-use bioreactor vessels for flexibility and chemical resistance, widely used substitute for stainless steel in disposables.",390110,Iran,metric tons,6470000.0,5.6,0.65,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
