agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,d3v1v1,Hydroponic Systems,Growing Channels (Nutrient Film Technique),0.95,Unanimous strong support with average confidence of 0.95 among all agents; a core component in hydroponic systems.,Polyethylene,0.95,"Common polymer used for water-resistant and durable growing channels in hydroponics, providing chemical resistance and structural integrity.",390110,China,metric tons,36283333.333333336,31.17,0.877,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d3v1v1,Hydroponic Systems,Growing Channels (Nutrient Film Technique),0.95,Unanimous strong support with average confidence of 0.95 among all agents; a core component in hydroponic systems.,Polyethylene,0.95,"Common polymer used for water-resistant and durable growing channels in hydroponics, providing chemical resistance and structural integrity.",390110,United States,metric tons,19506666.666666668,16.73,0.87,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d3v1v1,Hydroponic Systems,Growing Channels (Nutrient Film Technique),0.95,Unanimous strong support with average confidence of 0.95 among all agents; a core component in hydroponic systems.,Polyethylene,0.95,"Common polymer used for water-resistant and durable growing channels in hydroponics, providing chemical resistance and structural integrity.",390110,Saudi Arabia,metric tons,10090000.0,8.7,0.807,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d3v1v1,Hydroponic Systems,Growing Channels (Nutrient Film Technique),0.95,Unanimous strong support with average confidence of 0.95 among all agents; a core component in hydroponic systems.,Polyethylene,0.95,"Common polymer used for water-resistant and durable growing channels in hydroponics, providing chemical resistance and structural integrity.",390110,South Korea,metric tons,6446666.666666667,5.53,0.84,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d3v1v1,Hydroponic Systems,Growing Channels (Nutrient Film Technique),0.95,Unanimous strong support with average confidence of 0.95 among all agents; a core component in hydroponic systems.,Polyethylene,0.95,"Common polymer used for water-resistant and durable growing channels in hydroponics, providing chemical resistance and structural integrity.",390110,Iran,metric tons,6470000.0,5.6,0.65,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d3v1v1,Hydroponic Systems,Growing Channels (Nutrient Film Technique),0.95,Unanimous strong support with average confidence of 0.95 among all agents; a core component in hydroponic systems.,Polypropylene,0.8,"Alternative polymer commonly used for growing channels due to its strength and chemical resistance, often substituted for polyethylene.",390210,China,metric tons,0.0,30.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Polypropylene
1,d3v1v1,Hydroponic Systems,Growing Channels (Nutrient Film Technique),0.95,Unanimous strong support with average confidence of 0.95 among all agents; a core component in hydroponic systems.,Polypropylene,0.8,"Alternative polymer commonly used for growing channels due to its strength and chemical resistance, often substituted for polyethylene.",390210,United States,metric tons,0.0,25.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Polypropylene
1,d3v1v1,Hydroponic Systems,Growing Channels (Nutrient Film Technique),0.95,Unanimous strong support with average confidence of 0.95 among all agents; a core component in hydroponic systems.,Polypropylene,0.8,"Alternative polymer commonly used for growing channels due to its strength and chemical resistance, often substituted for polyethylene.",390210,India,metric tons,0.0,12.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Polypropylene
1,d3v1v1,Hydroponic Systems,Growing Channels (Nutrient Film Technique),0.95,Unanimous strong support with average confidence of 0.95 among all agents; a core component in hydroponic systems.,Polypropylene,0.8,"Alternative polymer commonly used for growing channels due to its strength and chemical resistance, often substituted for polyethylene.",390210,South Korea,metric tons,0.0,10.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Polypropylene
1,d3v1v1,Hydroponic Systems,Growing Channels (Nutrient Film Technique),0.95,Unanimous strong support with average confidence of 0.95 among all agents; a core component in hydroponic systems.,Polypropylene,0.8,"Alternative polymer commonly used for growing channels due to its strength and chemical resistance, often substituted for polyethylene.",390210,Saudi Arabia,metric tons,0.0,8.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Polypropylene
