agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,d2v1v1,Hydroponic Systems,Fluid System,0.94,Strong multi-agent consensus with uniformly high confidence (average 0.94). Essential for nutrient solution circulation in hydroponic systems.,Polyethylene,0.9,"Primary polymer used for tubing and connectors due to chemical inertness, flexibility, and durability; industry standard with limited alternatives in hydroponics.",390110,China,metric tons,36283333.333333336,31.17,0.877,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d2v1v1,Hydroponic Systems,Fluid System,0.94,Strong multi-agent consensus with uniformly high confidence (average 0.94). Essential for nutrient solution circulation in hydroponic systems.,Polyethylene,0.9,"Primary polymer used for tubing and connectors due to chemical inertness, flexibility, and durability; industry standard with limited alternatives in hydroponics.",390110,United States,metric tons,19506666.666666668,16.73,0.87,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d2v1v1,Hydroponic Systems,Fluid System,0.94,Strong multi-agent consensus with uniformly high confidence (average 0.94). Essential for nutrient solution circulation in hydroponic systems.,Polyethylene,0.9,"Primary polymer used for tubing and connectors due to chemical inertness, flexibility, and durability; industry standard with limited alternatives in hydroponics.",390110,Saudi Arabia,metric tons,10090000.0,8.7,0.807,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d2v1v1,Hydroponic Systems,Fluid System,0.94,Strong multi-agent consensus with uniformly high confidence (average 0.94). Essential for nutrient solution circulation in hydroponic systems.,Polyethylene,0.9,"Primary polymer used for tubing and connectors due to chemical inertness, flexibility, and durability; industry standard with limited alternatives in hydroponics.",390110,South Korea,metric tons,6446666.666666667,5.53,0.84,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d2v1v1,Hydroponic Systems,Fluid System,0.94,Strong multi-agent consensus with uniformly high confidence (average 0.94). Essential for nutrient solution circulation in hydroponic systems.,Polyethylene,0.9,"Primary polymer used for tubing and connectors due to chemical inertness, flexibility, and durability; industry standard with limited alternatives in hydroponics.",390110,Iran,metric tons,6470000.0,5.6,0.65,LLM fallback cache (previously computed) - no USGS data available for Polyethylene
1,d2v1v1,Hydroponic Systems,Fluid System,0.94,Strong multi-agent consensus with uniformly high confidence (average 0.94). Essential for nutrient solution circulation in hydroponic systems.,Silicon,0.7,"Used for seals and flexible tubing parts for chemical resistance; while alternatives exist, silicon is standard in fluid system seals.",280469,CHINA,THOUSAND METRIC TONS,3600.0,40.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d2v1v1,Hydroponic Systems,Fluid System,0.94,Strong multi-agent consensus with uniformly high confidence (average 0.94). Essential for nutrient solution circulation in hydroponic systems.,Silicon,0.7,"Used for seals and flexible tubing parts for chemical resistance; while alternatives exist, silicon is standard in fluid system seals.",280469,RUSSIA,THOUSAND METRIC TONS,570.0,6.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d2v1v1,Hydroponic Systems,Fluid System,0.94,Strong multi-agent consensus with uniformly high confidence (average 0.94). Essential for nutrient solution circulation in hydroponic systems.,Silicon,0.7,"Used for seals and flexible tubing parts for chemical resistance; while alternatives exist, silicon is standard in fluid system seals.",280469,BRAZIL,THOUSAND METRIC TONS,190.0,2.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d2v1v1,Hydroponic Systems,Fluid System,0.94,Strong multi-agent consensus with uniformly high confidence (average 0.94). Essential for nutrient solution circulation in hydroponic systems.,Silicon,0.7,"Used for seals and flexible tubing parts for chemical resistance; while alternatives exist, silicon is standard in fluid system seals.",280469,NORWAY,THOUSAND METRIC TONS,200.0,2.22,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d2v1v1,Hydroponic Systems,Fluid System,0.94,Strong multi-agent consensus with uniformly high confidence (average 0.94). Essential for nutrient solution circulation in hydroponic systems.,Silicon,0.7,"Used for seals and flexible tubing parts for chemical resistance; while alternatives exist, silicon is standard in fluid system seals.",280469,OTHER,THOUSAND METRIC TONS,100.0,1.11,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
