technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Glass,0.95,"Glass substrates provide structural support and optical clarity, universally used in OLED displays.",700800,China,metric tons,0.0,63.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Glass,0.95,"Glass substrates provide structural support and optical clarity, universally used in OLED displays.",700800,United States,metric tons,0.0,12.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Glass,0.95,"Glass substrates provide structural support and optical clarity, universally used in OLED displays.",700800,Germany,metric tons,0.0,7.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Glass,0.95,"Glass substrates provide structural support and optical clarity, universally used in OLED displays.",700800,India,metric tons,0.0,6.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Glass,0.95,"Glass substrates provide structural support and optical clarity, universally used in OLED displays.",700800,Japan,metric tons,0.0,5.0,0.8,LLM fallback cache (previously computed) - no USGS data available for Glass
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Indium,0.9,"Indium is critical in the form of indium tin oxide for transparent electrodes, standard in OLED technology.",811299,CHINA,METRIC TONS,650.0,65.66,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Indium,0.9,"Indium is critical in the form of indium tin oxide for transparent electrodes, standard in OLED technology.",811299,"KOREA, REPUBLIC OF",METRIC TONS,200.0,20.2,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Indium,0.9,"Indium is critical in the form of indium tin oxide for transparent electrodes, standard in OLED technology.",811299,JAPAN,METRIC TONS,64.0,6.46,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Indium,0.9,"Indium is critical in the form of indium tin oxide for transparent electrodes, standard in OLED technology.",811299,CANADA,METRIC TONS,37.0,3.74,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Indium,0.9,"Indium is critical in the form of indium tin oxide for transparent electrodes, standard in OLED technology.",811299,BELGIUM,METRIC TONS,18.0,1.82,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Silver,0.65,Silver is commonly used as a cathode conductor in OLED displays but can be substituted by aluminum.,710610,MEXICO,METRIC TONS,6400.0,24.62,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Silver,0.65,Silver is commonly used as a cathode conductor in OLED displays but can be substituted by aluminum.,710610,CHINA,METRIC TONS,3400.0,13.08,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Silver,0.65,Silver is commonly used as a cathode conductor in OLED displays but can be substituted by aluminum.,710610,PERU,METRIC TONS,3100.0,11.92,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Silver,0.65,Silver is commonly used as a cathode conductor in OLED displays but can be substituted by aluminum.,710610,OTHER,METRIC TONS,3000.0,11.54,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Silver,0.65,Silver is commonly used as a cathode conductor in OLED displays but can be substituted by aluminum.,710610,CHILE,METRIC TONS,1400.0,5.38,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Aluminum,0.85,"Aluminum is used as electrode contacts and reflective layers, a standard material in display modules.",280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Aluminum,0.85,"Aluminum is used as electrode contacts and reflective layers, a standard material in display modules.",280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Aluminum,0.85,"Aluminum is used as electrode contacts and reflective layers, a standard material in display modules.",280300,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Aluminum,0.85,"Aluminum is used as electrode contacts and reflective layers, a standard material in display modules.",280300,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Oled Display Module,0.95,"Essential user interface component, procured as a complete assembly that includes touch sensors and display panel, universally present in modern smartphones.",Aluminum,0.85,"Aluminum is used as electrode contacts and reflective layers, a standard material in display modules.",280300,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"Primary power source, always a separately manufactured and procured module with strict specifications and supply chain management.",Lithium,0.95,"Lithium is the essential active material in lithium-ion batteries, critical for energy storage with no substitutes.",280520,AUSTRALIA,METRIC TONS,86000.0,47.78,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"Primary power source, always a separately manufactured and procured module with strict specifications and supply chain management.",Lithium,0.95,"Lithium is the essential active material in lithium-ion batteries, critical for energy storage with no substitutes.",280520,CHILE,METRIC TONS,44000.0,24.44,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"Primary power source, always a separately manufactured and procured module with strict specifications and supply chain management.",Lithium,0.95,"Lithium is the essential active material in lithium-ion batteries, critical for energy storage with no substitutes.",280520,CHINA,METRIC TONS,33000.0,18.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"Primary power source, always a separately manufactured and procured module with strict specifications and supply chain management.",Lithium,0.95,"Lithium is the essential active material in lithium-ion batteries, critical for energy storage with no substitutes.",280520,ARGENTINA,METRIC TONS,9600.0,5.33,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"Primary power source, always a separately manufactured and procured module with strict specifications and supply chain management.",Lithium,0.95,"Lithium is the essential active material in lithium-ion batteries, critical for energy storage with no substitutes.",280520,BRAZIL,METRIC TONS,4900.0,2.72,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"Primary power source, always a separately manufactured and procured module with strict specifications and supply chain management.",Graphite,0.9,Graphite is the standard anode material for lithium intercalation; universal in commercial lithium-ion batteries.,380110,CHINA,METRIC TONS,1230000.0,76.88,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"Primary power source, always a separately manufactured and procured module with strict specifications and supply chain management.",Graphite,0.9,Graphite is the standard anode material for lithium intercalation; universal in commercial lithium-ion batteries.,380110,MADAGASCAR,METRIC TONS,100000.0,6.25,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"Primary power source, always a separately manufactured and procured module with strict specifications and supply chain management.",Graphite,0.9,Graphite is the standard anode material for lithium intercalation; universal in commercial lithium-ion batteries.,380110,MOZAMBIQUE,METRIC TONS,96000.0,6.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"Primary power source, always a separately manufactured and procured module with strict specifications and supply chain management.",Graphite,0.9,Graphite is the standard anode material for lithium intercalation; universal in commercial lithium-ion batteries.,380110,BRAZIL,METRIC TONS,73000.0,4.56,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"Primary power source, always a separately manufactured and procured module with strict specifications and supply chain management.",Graphite,0.9,Graphite is the standard anode material for lithium intercalation; universal in commercial lithium-ion batteries.,380110,"KOREA, REPUBLIC OF",METRIC TONS,27000.0,1.69,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
Smartphone,Lithium-ion Battery,0.95,"Primary power source, always a separately manufactured and procured module with strict specifications and supply chain management.",Copper,0.9,"Copper is an essential current collector in the battery's anode, universally used.",740100,CHINA,THOUSAND METRIC TONS,1700.0,3.47,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
