agent,config,technology,component,component_confidence,component_reasoning,material,material_confidence,material_reasoning,hs_code,country,meas_unit,amount,percentage,country_confidence,country_reasoning
1,d4v1v1,Tablet Press (Rotary Tablet Press),Rotary Turret,0.98,"Strong consensus with 3 agents selecting it, very high confidence and critical for rotary tablet press operation.",Stainless steel (SS 304/316),0.95,"Primary structural material for strength, wear resistance, and corrosion resistance in rotary turret components; industry standard with few alternatives for durability.",722000,Nigeria,metric tons,0.0,18.0,0.92,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d4v1v1,Tablet Press (Rotary Tablet Press),Rotary Turret,0.98,"Strong consensus with 3 agents selecting it, very high confidence and critical for rotary tablet press operation.",Stainless steel (SS 304/316),0.95,"Primary structural material for strength, wear resistance, and corrosion resistance in rotary turret components; industry standard with few alternatives for durability.",722000,Russia,metric tons,0.0,15.0,0.9,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d4v1v1,Tablet Press (Rotary Tablet Press),Rotary Turret,0.98,"Strong consensus with 3 agents selecting it, very high confidence and critical for rotary tablet press operation.",Stainless steel (SS 304/316),0.95,"Primary structural material for strength, wear resistance, and corrosion resistance in rotary turret components; industry standard with few alternatives for durability.",722000,India,metric tons,0.0,10.0,0.85,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d4v1v1,Tablet Press (Rotary Tablet Press),Rotary Turret,0.98,"Strong consensus with 3 agents selecting it, very high confidence and critical for rotary tablet press operation.",Stainless steel (SS 304/316),0.95,"Primary structural material for strength, wear resistance, and corrosion resistance in rotary turret components; industry standard with few alternatives for durability.",722000,Australia,metric tons,0.0,13.0,0.95,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d4v1v1,Tablet Press (Rotary Tablet Press),Rotary Turret,0.98,"Strong consensus with 3 agents selecting it, very high confidence and critical for rotary tablet press operation.",Stainless steel (SS 304/316),0.95,"Primary structural material for strength, wear resistance, and corrosion resistance in rotary turret components; industry standard with few alternatives for durability.",722000,Indonesia,metric tons,0.0,10.0,0.87,LLM fallback cache (previously computed) - no USGS data available for Stainless steel (SS 304/316)
1,d4v1v1,Tablet Press (Rotary Tablet Press),Rotary Turret,0.98,"Strong consensus with 3 agents selecting it, very high confidence and critical for rotary tablet press operation.",Aluminum,0.7,Used for lightweight structural parts or housings; common alternative to steel where weight reduction is needed but less wear resistance.,280300,CHINA,THOUSAND METRIC TONS,41000.0,58.57,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Tablet Press (Rotary Tablet Press),Rotary Turret,0.98,"Strong consensus with 3 agents selecting it, very high confidence and critical for rotary tablet press operation.",Aluminum,0.7,Used for lightweight structural parts or housings; common alternative to steel where weight reduction is needed but less wear resistance.,280300,OTHER,THOUSAND METRIC TONS,7000.0,10.0,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Tablet Press (Rotary Tablet Press),Rotary Turret,0.98,"Strong consensus with 3 agents selecting it, very high confidence and critical for rotary tablet press operation.",Aluminum,0.7,Used for lightweight structural parts or housings; common alternative to steel where weight reduction is needed but less wear resistance.,280300,INDIA,THOUSAND METRIC TONS,4100.0,5.86,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Tablet Press (Rotary Tablet Press),Rotary Turret,0.98,"Strong consensus with 3 agents selecting it, very high confidence and critical for rotary tablet press operation.",Aluminum,0.7,Used for lightweight structural parts or housings; common alternative to steel where weight reduction is needed but less wear resistance.,280300,RUSSIA,THOUSAND METRIC TONS,3800.0,5.43,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
1,d4v1v1,Tablet Press (Rotary Tablet Press),Rotary Turret,0.98,"Strong consensus with 3 agents selecting it, very high confidence and critical for rotary tablet press operation.",Aluminum,0.7,Used for lightweight structural parts or housings; common alternative to steel where weight reduction is needed but less wear resistance.,280300,CANADA,THOUSAND METRIC TONS,3000.0,4.29,0.95,USGS Mineral Commodity Summaries 2024/2023 - authoritative U.S. government production data with global coverage
